Account Creation Date,Account Creation Method,Account Age (Days),Profile Picture,Profile Information Complete,Name Consistency,Login Frequency (per week),Login Time Pattern,IP Address Variability,Followers Count,Following Count,Engagement Rate (likes/comments),Post Frequency (per week),Content Type,Email Validation,Phone Number Validation,Reported by Users,Flags by Content Moderation,Geolocation Consistency,Suspicious Device Use,Final Result
2/19/2024,Social Media Login,15,No,No,Inconsistent,6,Irregular,Low,2285,1237,Low engagement (rare likes),1,Mixed (Image/Text),Valid,Invalid,Yes,No,Consistent,Yes,Genuine
9/29/2024,Phone Number,9,No,Yes,Consistent,6,Irregular,Low,3202,703,Moderate engagement,11,Mixed (Image/Text),Invalid,Invalid,No,No,Inconsistent,No,Genuine
7/6/2024,Phone Number,4,Yes,No,Consistent,5,Irregular,High,1580,999,Low engagement (rare likes),19,Mixed (Image/Text),Valid,Invalid,No,No,Consistent,No,Genuine
5/16/2024,Social Media Login,13,No,Yes,Inconsistent,10,Regular,High,3030,904,Moderate engagement,7,Mixed (Image/Text),Invalid,Invalid,Yes,No,Inconsistent,Yes,Genuine
1/21/2024,Email,28,No,Yes,Inconsistent,2,Regular,High,4396,39,Moderate engagement,20,Text-only,Invalid,Valid,No,No,Inconsistent,No,Genuine
9/17/2024,Social Media Login,15,No,Yes,Consistent,10,Regular,Medium,417,1010,Moderate engagement,0,Mixed (Image/Text),Invalid,Invalid,No,No,Consistent,No,Fake
3/31/2024,Phone Number,29,No,Yes,Inconsistent,9,Regular,High,787,1407,High engagement (likes/comments),19,Image/Video,Invalid,Valid,Yes,Yes,Inconsistent,No,Fake
9/21/2024,Phone Number,24,No,Yes,Inconsistent,4,Irregular,High,2414,1347,Very low engagement,3,Mixed (Image/Text),Invalid,Invalid,No,No,Consistent,No,Fake
9/20/2024,Email,17,No,Yes,Consistent,2,Regular,High,3861,305,Moderate engagement,1,Text-only,Invalid,Valid,No,Yes,Inconsistent,Yes,Fake
8/27/2024,Phone Number,28,No,Yes,Inconsistent,7,Irregular,Low,1579,597,Very low engagement,0,Text-only,Valid,Invalid,Yes,Yes,Consistent,Yes,Fake
8/10/2024,Phone Number,14,No,No,Inconsistent,4,Irregular,Low,1782,559,Very low engagement,19,Mixed (Image/Text),Invalid,Invalid,Yes,Yes,Consistent,No,Fake
7/10/2024,Social Media Login,11,No,No,Inconsistent,8,Irregular,High,1614,552,High engagement (likes/comments),18,Text-only,Invalid,Valid,Yes,No,Consistent,Yes,Fake
2/22/2024,Phone Number,3,Yes,Yes,Consistent,7,Regular,High,4706,366,Very low engagement,5,Image/Video,Valid,Invalid,No,No,Inconsistent,No,Fake
2/13/2024,Social Media Login,15,No,Yes,Consistent,3,Regular,Medium,4714,216,Very low engagement,15,Image/Video,Invalid,Valid,Yes,No,Inconsistent,No,Fake
3/6/2024,Email,15,No,No,Inconsistent,2,Irregular,Medium,4218,1392,Very low engagement,3,Image/Video,Valid,Valid,No,No,Inconsistent,No,Genuine
6/20/2024,Email,2,No,Yes,Consistent,7,Irregular,Low,3020,782,Moderate engagement,11,Mixed (Image/Text),Invalid,Invalid,Yes,No,Inconsistent,No,Genuine
10/27/2024,Phone Number,4,Yes,Yes,Consistent,5,Irregular,High,4588,1458,Low engagement (rare likes),12,Text-only,Valid,Valid,Yes,Yes,Consistent,Yes,Genuine
8/6/2024,Email,27,No,No,Consistent,3,Regular,Medium,847,863,Low engagement (rare likes),17,Mixed (Image/Text),Valid,Valid,Yes,Yes,Consistent,No,Fake
10/17/2024,Email,6,No,No,Consistent,9,Irregular,Low,3571,972,Low engagement (rare likes),11,Mixed (Image/Text),Valid,Valid,No,No,Consistent,Yes,Genuine
5/29/2024,Social Media Login,10,Yes,No,Consistent,10,Irregular,Low,3138,1422,Very low engagement,11,Mixed (Image/Text),Valid,Invalid,Yes,Yes,Consistent,Yes,Genuine
8/21/2024,Social Media Login,26,No,No,Inconsistent,3,Regular,Medium,518,319,High engagement (likes/comments),3,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Consistent,No,Fake
10/16/2024,Phone Number,26,Yes,No,Consistent,4,Irregular,Medium,421,832,High engagement (likes/comments),11,Image/Video,Valid,Valid,No,No,Inconsistent,Yes,Genuine
10/14/2024,Social Media Login,25,Yes,Yes,Consistent,2,Regular,Medium,2474,1506,Moderate engagement,17,Text-only,Valid,Invalid,Yes,Yes,Consistent,No,Genuine
7/3/2024,Email,14,Yes,Yes,Inconsistent,5,Irregular,Low,3020,510,Very low engagement,9,Image/Video,Valid,Valid,No,Yes,Inconsistent,No,Genuine
6/10/2024,Phone Number,26,No,No,Consistent,2,Irregular,Medium,4225,1916,Low engagement (rare likes),20,Mixed (Image/Text),Valid,Invalid,No,No,Consistent,No,Genuine
11/1/2024,Email,28,No,No,Inconsistent,2,Regular,High,2925,80,Very low engagement,18,Text-only,Valid,Valid,Yes,Yes,Consistent,Yes,Genuine
10/29/2024,Phone Number,4,Yes,No,Consistent,7,Irregular,Low,494,303,High engagement (likes/comments),3,Image/Video,Valid,Valid,No,Yes,Consistent,Yes,Genuine
1/20/2024,Social Media Login,6,No,Yes,Consistent,1,Irregular,Low,1188,1641,High engagement (likes/comments),10,Text-only,Invalid,Invalid,Yes,Yes,Consistent,Yes,Genuine
6/20/2024,Social Media Login,11,No,Yes,Consistent,10,Irregular,Low,2733,1545,Very low engagement,7,Mixed (Image/Text),Valid,Valid,Yes,No,Inconsistent,Yes,Genuine
7/4/2024,Phone Number,14,Yes,No,Inconsistent,7,Irregular,Medium,1945,1599,Low engagement (rare likes),1,Mixed (Image/Text),Valid,Valid,No,No,Consistent,Yes,Fake
4/30/2024,Social Media Login,3,Yes,Yes,Consistent,10,Regular,Medium,4859,1195,Very low engagement,0,Image/Video,Valid,Valid,No,Yes,Consistent,Yes,Genuine
5/13/2024,Social Media Login,22,Yes,No,Consistent,9,Regular,Low,34,516,Low engagement (rare likes),19,Mixed (Image/Text),Valid,Valid,Yes,No,Inconsistent,Yes,Fake
11/8/2024,Email,7,Yes,No,Inconsistent,6,Regular,Low,1860,844,Low engagement (rare likes),12,Mixed (Image/Text),Invalid,Invalid,Yes,No,Inconsistent,No,Genuine
1/21/2024,Social Media Login,28,Yes,Yes,Consistent,2,Regular,Medium,3785,1451,Low engagement (rare likes),6,Text-only,Valid,Valid,Yes,No,Inconsistent,Yes,Genuine
8/22/2024,Social Media Login,19,Yes,Yes,Consistent,5,Regular,High,950,885,Low engagement (rare likes),11,Image/Video,Invalid,Invalid,Yes,Yes,Consistent,Yes,Genuine
9/29/2024,Social Media Login,2,No,No,Inconsistent,3,Regular,Low,2787,1870,Very low engagement,15,Text-only,Valid,Invalid,Yes,No,Consistent,Yes,Genuine
6/13/2024,Social Media Login,22,Yes,Yes,Inconsistent,3,Regular,Low,647,702,Very low engagement,9,Text-only,Invalid,Valid,Yes,No,Inconsistent,Yes,Fake
5/8/2024,Phone Number,20,No,No,Inconsistent,6,Regular,Medium,1465,1553,High engagement (likes/comments),11,Image/Video,Valid,Valid,Yes,No,Inconsistent,No,Fake
5/17/2024,Phone Number,16,Yes,No,Inconsistent,7,Irregular,Medium,572,213,Moderate engagement,4,Text-only,Valid,Invalid,Yes,Yes,Consistent,No,Fake
3/28/2024,Phone Number,20,Yes,No,Consistent,6,Irregular,Low,480,1323,High engagement (likes/comments),10,Text-only,Invalid,Valid,Yes,No,Consistent,No,Fake
8/2/2024,Email,13,Yes,Yes,Inconsistent,7,Irregular,Low,402,607,Moderate engagement,17,Mixed (Image/Text),Invalid,Valid,No,Yes,Consistent,No,Fake
5/3/2024,Email,23,No,Yes,Consistent,9,Regular,Medium,924,654,High engagement (likes/comments),2,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Consistent,Yes,Fake
6/29/2024,Social Media Login,18,Yes,Yes,Inconsistent,5,Irregular,High,4968,1127,Low engagement (rare likes),15,Text-only,Invalid,Invalid,No,Yes,Consistent,Yes,Genuine
7/16/2024,Social Media Login,27,Yes,No,Consistent,5,Regular,High,384,1481,Low engagement (rare likes),15,Mixed (Image/Text),Valid,Invalid,Yes,Yes,Consistent,Yes,Genuine
1/18/2024,Social Media Login,11,No,Yes,Consistent,9,Irregular,Medium,2079,560,Low engagement (rare likes),4,Image/Video,Invalid,Valid,Yes,Yes,Inconsistent,Yes,Genuine
7/3/2024,Email,3,No,No,Inconsistent,8,Irregular,High,1919,631,High engagement (likes/comments),16,Mixed (Image/Text),Invalid,Invalid,No,No,Consistent,Yes,Fake
10/4/2024,Email,10,Yes,No,Inconsistent,4,Irregular,Low,3186,696,Low engagement (rare likes),8,Mixed (Image/Text),Valid,Invalid,Yes,Yes,Inconsistent,No,Genuine
3/26/2024,Phone Number,25,Yes,No,Consistent,8,Irregular,Low,1669,1512,Very low engagement,13,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Inconsistent,Yes,Genuine
9/26/2024,Email,24,No,Yes,Inconsistent,5,Regular,Medium,4977,82,Very low engagement,0,Text-only,Invalid,Invalid,Yes,No,Inconsistent,No,Fake
5/2/2024,Phone Number,6,Yes,No,Consistent,3,Irregular,Medium,3390,921,Low engagement (rare likes),2,Mixed (Image/Text),Valid,Invalid,Yes,No,Inconsistent,No,Fake
7/12/2024,Social Media Login,25,No,Yes,Consistent,9,Irregular,High,1139,1075,High engagement (likes/comments),3,Mixed (Image/Text),Valid,Valid,Yes,No,Inconsistent,No,Fake
9/4/2024,Social Media Login,17,No,Yes,Consistent,9,Irregular,Low,2031,1093,Low engagement (rare likes),5,Mixed (Image/Text),Invalid,Invalid,Yes,No,Consistent,Yes,Fake
7/18/2024,Social Media Login,27,No,No,Inconsistent,5,Regular,Low,887,1008,Low engagement (rare likes),13,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Inconsistent,Yes,Genuine
5/4/2024,Social Media Login,27,Yes,Yes,Consistent,5,Regular,Low,2313,402,Very low engagement,6,Image/Video,Invalid,Invalid,No,No,Consistent,Yes,Fake
7/22/2024,Email,7,Yes,Yes,Consistent,10,Irregular,High,2082,969,High engagement (likes/comments),16,Mixed (Image/Text),Invalid,Invalid,No,No,Inconsistent,No,Fake
9/18/2024,Phone Number,21,No,No,Inconsistent,7,Regular,Low,4446,690,Moderate engagement,2,Text-only,Valid,Invalid,Yes,Yes,Consistent,No,Genuine
3/5/2024,Social Media Login,23,No,Yes,Consistent,2,Regular,Medium,3100,1134,Moderate engagement,9,Image/Video,Invalid,Invalid,Yes,Yes,Consistent,No,Genuine
9/9/2024,Social Media Login,14,No,Yes,Inconsistent,9,Regular,Low,206,884,Moderate engagement,7,Image/Video,Invalid,Invalid,No,No,Consistent,No,Fake
1/25/2024,Email,6,No,No,Consistent,9,Irregular,Low,344,565,Very low engagement,20,Image/Video,Valid,Invalid,Yes,No,Inconsistent,No,Genuine
9/22/2024,Phone Number,10,No,Yes,Inconsistent,5,Regular,Low,4783,935,Very low engagement,6,Image/Video,Valid,Valid,Yes,No,Consistent,Yes,Fake
9/20/2024,Social Media Login,18,No,No,Inconsistent,5,Irregular,Low,4606,1034,High engagement (likes/comments),8,Mixed (Image/Text),Valid,Invalid,Yes,No,Consistent,No,Fake
7/24/2024,Phone Number,13,No,Yes,Consistent,8,Irregular,Low,1811,706,Very low engagement,3,Image/Video,Valid,Invalid,Yes,Yes,Inconsistent,No,Fake
10/19/2024,Phone Number,18,Yes,Yes,Consistent,10,Irregular,Low,4860,1505,Very low engagement,3,Text-only,Invalid,Invalid,Yes,Yes,Inconsistent,Yes,Genuine
8/13/2024,Email,4,Yes,No,Inconsistent,6,Irregular,Medium,694,306,High engagement (likes/comments),6,Text-only,Invalid,Valid,Yes,No,Consistent,No,Genuine
10/10/2024,Email,19,Yes,No,Consistent,4,Irregular,High,4732,1584,Moderate engagement,5,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Consistent,No,Fake
3/13/2024,Phone Number,21,Yes,Yes,Inconsistent,4,Regular,High,3606,895,Moderate engagement,9,Text-only,Valid,Invalid,No,No,Inconsistent,No,Fake
4/2/2024,Email,22,No,Yes,Consistent,9,Irregular,Medium,335,700,Moderate engagement,8,Text-only,Invalid,Valid,No,Yes,Inconsistent,Yes,Genuine
9/27/2024,Email,1,No,No,Consistent,1,Irregular,Low,3497,1540,High engagement (likes/comments),0,Mixed (Image/Text),Invalid,Invalid,No,Yes,Inconsistent,Yes,Fake
6/27/2024,Phone Number,14,No,Yes,Inconsistent,9,Regular,Medium,4815,230,Low engagement (rare likes),7,Text-only,Valid,Valid,Yes,No,Consistent,No,Genuine
5/21/2024,Social Media Login,30,Yes,No,Consistent,9,Irregular,Low,4016,362,Low engagement (rare likes),16,Text-only,Valid,Invalid,No,Yes,Consistent,No,Fake
2/11/2024,Phone Number,11,Yes,Yes,Inconsistent,4,Irregular,Medium,2667,421,High engagement (likes/comments),7,Text-only,Invalid,Valid,Yes,Yes,Inconsistent,Yes,Fake
6/30/2024,Phone Number,7,Yes,No,Consistent,2,Regular,High,974,1290,Moderate engagement,13,Image/Video,Valid,Invalid,Yes,No,Inconsistent,No,Genuine
6/21/2024,Phone Number,14,No,Yes,Consistent,8,Regular,Medium,1383,1342,Moderate engagement,4,Text-only,Valid,Valid,No,Yes,Consistent,No,Genuine
8/12/2024,Social Media Login,28,Yes,No,Consistent,1,Irregular,Medium,3917,238,Very low engagement,19,Text-only,Invalid,Valid,Yes,No,Consistent,Yes,Genuine
9/29/2024,Social Media Login,3,Yes,Yes,Consistent,9,Regular,High,4077,1669,Low engagement (rare likes),2,Text-only,Valid,Invalid,No,Yes,Inconsistent,No,Fake
5/18/2024,Social Media Login,2,Yes,Yes,Consistent,3,Regular,Low,4795,1872,Low engagement (rare likes),6,Text-only,Valid,Invalid,Yes,No,Inconsistent,No,Genuine
1/6/2024,Phone Number,8,No,Yes,Consistent,7,Regular,Low,3327,1793,Very low engagement,20,Image/Video,Invalid,Invalid,Yes,No,Inconsistent,Yes,Fake
11/8/2024,Social Media Login,22,Yes,Yes,Inconsistent,1,Irregular,High,3602,149,High engagement (likes/comments),11,Text-only,Invalid,Valid,Yes,Yes,Consistent,No,Fake
2/25/2024,Email,29,Yes,Yes,Consistent,6,Irregular,Low,332,1214,Very low engagement,6,Mixed (Image/Text),Invalid,Invalid,No,No,Consistent,No,Genuine
8/28/2024,Social Media Login,15,Yes,No,Inconsistent,10,Regular,High,3438,944,Moderate engagement,13,Text-only,Valid,Invalid,Yes,No,Consistent,Yes,Fake
5/13/2024,Phone Number,30,Yes,No,Consistent,8,Regular,High,4703,1780,Low engagement (rare likes),6,Image/Video,Invalid,Invalid,Yes,Yes,Consistent,Yes,Genuine
5/19/2024,Phone Number,1,No,Yes,Consistent,4,Regular,High,4429,1747,Very low engagement,5,Mixed (Image/Text),Valid,Valid,Yes,Yes,Consistent,No,Fake
3/27/2024,Phone Number,27,Yes,No,Inconsistent,10,Regular,High,4100,1131,Low engagement (rare likes),19,Text-only,Valid,Valid,Yes,No,Consistent,No,Fake
2/16/2024,Phone Number,29,Yes,Yes,Inconsistent,6,Irregular,High,143,57,Very low engagement,11,Text-only,Valid,Invalid,Yes,No,Consistent,No,Genuine
4/9/2024,Phone Number,21,Yes,Yes,Consistent,8,Irregular,High,3705,338,Very low engagement,10,Mixed (Image/Text),Invalid,Valid,No,No,Inconsistent,Yes,Genuine
9/19/2024,Email,12,No,Yes,Consistent,9,Regular,Medium,4488,1172,Low engagement (rare likes),2,Mixed (Image/Text),Valid,Valid,No,Yes,Consistent,Yes,Genuine
10/8/2024,Social Media Login,14,Yes,No,Consistent,8,Irregular,Medium,2830,113,Low engagement (rare likes),12,Image/Video,Invalid,Invalid,No,No,Consistent,Yes,Fake
3/15/2024,Social Media Login,6,Yes,No,Inconsistent,4,Irregular,Low,3006,1017,High engagement (likes/comments),4,Text-only,Invalid,Invalid,No,Yes,Inconsistent,No,Fake
4/6/2024,Social Media Login,26,Yes,Yes,Consistent,2,Irregular,Low,1225,528,High engagement (likes/comments),6,Image/Video,Invalid,Valid,No,Yes,Inconsistent,No,Genuine
1/20/2024,Phone Number,29,Yes,Yes,Consistent,2,Irregular,High,2281,1560,Low engagement (rare likes),0,Image/Video,Invalid,Invalid,Yes,Yes,Inconsistent,Yes,Fake
5/26/2024,Social Media Login,8,No,Yes,Consistent,7,Irregular,Medium,4975,1899,High engagement (likes/comments),1,Text-only,Invalid,Valid,Yes,Yes,Inconsistent,Yes,Fake
11/2/2024,Social Media Login,11,No,No,Consistent,8,Regular,High,761,1646,Very low engagement,8,Mixed (Image/Text),Valid,Valid,No,Yes,Consistent,Yes,Fake
7/6/2024,Email,11,Yes,No,Inconsistent,8,Irregular,Low,2206,683,High engagement (likes/comments),10,Image/Video,Valid,Valid,No,No,Consistent,No,Genuine
5/3/2024,Social Media Login,22,No,No,Consistent,4,Irregular,Medium,341,374,Very low engagement,16,Image/Video,Invalid,Valid,No,No,Consistent,Yes,Fake
3/21/2024,Phone Number,23,No,Yes,Inconsistent,6,Irregular,Low,4927,1266,Low engagement (rare likes),17,Text-only,Invalid,Valid,Yes,No,Consistent,No,Genuine
8/23/2024,Phone Number,17,Yes,Yes,Consistent,9,Regular,Medium,1062,1495,Moderate engagement,18,Mixed (Image/Text),Invalid,Valid,No,Yes,Inconsistent,Yes,Genuine
4/29/2024,Phone Number,6,Yes,No,Consistent,10,Regular,Medium,1597,628,Low engagement (rare likes),0,Image/Video,Invalid,Valid,Yes,No,Inconsistent,Yes,Fake
1/17/2024,Phone Number,12,No,No,Consistent,8,Irregular,High,4019,1927,Moderate engagement,5,Image/Video,Invalid,Valid,Yes,Yes,Inconsistent,No,Fake
3/9/2024,Email,25,Yes,Yes,Inconsistent,4,Regular,Low,971,866,Moderate engagement,19,Text-only,Invalid,Valid,No,No,Inconsistent,Yes,Fake
6/6/2024,Social Media Login,14,No,Yes,Consistent,5,Regular,Medium,1993,481,Very low engagement,18,Text-only,Valid,Invalid,No,No,Inconsistent,Yes,Genuine
4/18/2024,Social Media Login,4,No,Yes,Consistent,9,Regular,Low,2457,1169,Low engagement (rare likes),18,Image/Video,Valid,Valid,Yes,Yes,Consistent,Yes,Fake
9/12/2024,Phone Number,2,Yes,No,Consistent,7,Regular,Low,1323,993,Moderate engagement,5,Image/Video,Invalid,Valid,Yes,Yes,Consistent,No,Fake
6/17/2024,Social Media Login,11,Yes,Yes,Consistent,7,Irregular,Low,4479,1939,Moderate engagement,16,Mixed (Image/Text),Invalid,Valid,No,No,Inconsistent,Yes,Fake
3/16/2024,Email,13,Yes,Yes,Consistent,4,Irregular,Medium,3427,1478,Moderate engagement,15,Image/Video,Valid,Invalid,Yes,Yes,Inconsistent,Yes,Fake
7/13/2024,Social Media Login,7,Yes,Yes,Consistent,4,Irregular,Low,3311,1314,Low engagement (rare likes),7,Text-only,Invalid,Valid,No,Yes,Inconsistent,No,Genuine
3/29/2024,Email,17,No,No,Consistent,10,Irregular,High,3511,1315,Moderate engagement,4,Text-only,Valid,Valid,Yes,No,Consistent,Yes,Genuine
6/18/2024,Email,13,Yes,No,Inconsistent,8,Regular,Low,3919,641,Moderate engagement,15,Mixed (Image/Text),Invalid,Invalid,No,No,Consistent,No,Fake
10/24/2024,Social Media Login,5,Yes,Yes,Consistent,6,Regular,Medium,1341,929,High engagement (likes/comments),6,Text-only,Valid,Invalid,Yes,No,Consistent,Yes,Fake
5/9/2024,Email,12,No,No,Inconsistent,10,Regular,Low,2058,673,Low engagement (rare likes),10,Image/Video,Invalid,Valid,No,Yes,Consistent,Yes,Fake
2/4/2024,Email,4,Yes,No,Consistent,2,Regular,Low,1401,1021,Very low engagement,3,Image/Video,Valid,Invalid,Yes,Yes,Inconsistent,Yes,Fake
3/5/2024,Email,26,Yes,Yes,Consistent,8,Regular,High,4972,1332,High engagement (likes/comments),5,Image/Video,Valid,Invalid,No,Yes,Inconsistent,No,Genuine
1/4/2024,Phone Number,17,No,Yes,Inconsistent,7,Regular,Low,3212,1439,Very low engagement,14,Mixed (Image/Text),Invalid,Invalid,Yes,Yes,Inconsistent,Yes,Genuine
7/12/2024,Social Media Login,29,Yes,Yes,Consistent,10,Irregular,Medium,1476,1924,High engagement (likes/comments),20,Mixed (Image/Text),Invalid,Invalid,No,Yes,Inconsistent,No,Genuine
1/6/2024,Email,27,No,No,Consistent,5,Irregular,High,2600,1722,Moderate engagement,20,Image/Video,Valid,Invalid,Yes,No,Consistent,Yes,Fake
9/8/2024,Email,24,No,Yes,Inconsistent,1,Irregular,Low,1412,1409,High engagement (likes/comments),12,Image/Video,Invalid,Valid,No,No,Inconsistent,No,Fake
6/24/2024,Social Media Login,9,Yes,Yes,Consistent,8,Irregular,Medium,3672,1270,Very low engagement,16,Text-only,Valid,Valid,Yes,Yes,Inconsistent,No,Fake
4/6/2024,Email,8,No,No,Consistent,2,Regular,Low,3403,1213,High engagement (likes/comments),9,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Inconsistent,Yes,Genuine
4/16/2024,Email,2,No,No,Inconsistent,1,Irregular,Low,4629,712,Moderate engagement,17,Mixed (Image/Text),Valid,Invalid,No,Yes,Inconsistent,No,Fake
4/13/2024,Email,25,No,Yes,Inconsistent,8,Irregular,High,4937,1318,Very low engagement,19,Image/Video,Invalid,Invalid,No,No,Consistent,Yes,Genuine
2/15/2024,Phone Number,6,No,Yes,Inconsistent,5,Regular,Low,2577,686,Low engagement (rare likes),5,Text-only,Valid,Valid,No,Yes,Inconsistent,No,Fake
8/11/2024,Phone Number,28,Yes,No,Consistent,2,Irregular,High,911,1541,High engagement (likes/comments),10,Mixed (Image/Text),Invalid,Valid,No,No,Inconsistent,No,Genuine
4/29/2024,Phone Number,8,Yes,Yes,Consistent,2,Irregular,High,3977,1685,High engagement (likes/comments),14,Image/Video,Valid,Valid,No,No,Inconsistent,Yes,Genuine
3/7/2024,Email,23,No,Yes,Consistent,10,Regular,Medium,4459,1724,Moderate engagement,4,Mixed (Image/Text),Valid,Invalid,No,Yes,Consistent,Yes,Fake
9/27/2024,Email,5,Yes,No,Inconsistent,1,Irregular,Medium,34,1676,Moderate engagement,13,Mixed (Image/Text),Valid,Valid,No,Yes,Consistent,Yes,Genuine
5/4/2024,Social Media Login,6,No,No,Consistent,9,Irregular,Medium,4961,908,Low engagement (rare likes),4,Text-only,Invalid,Valid,No,No,Consistent,Yes,Fake
6/6/2024,Phone Number,20,No,Yes,Inconsistent,7,Regular,High,512,1657,Low engagement (rare likes),7,Text-only,Valid,Valid,Yes,Yes,Inconsistent,No,Fake
8/3/2024,Email,12,No,Yes,Consistent,4,Regular,Low,309,419,High engagement (likes/comments),5,Image/Video,Valid,Valid,No,No,Consistent,No,Fake
5/9/2024,Email,13,No,Yes,Consistent,7,Irregular,Low,3951,814,Moderate engagement,2,Mixed (Image/Text),Valid,Valid,Yes,No,Consistent,No,Fake
3/9/2024,Social Media Login,16,Yes,No,Inconsistent,4,Irregular,Medium,457,866,Low engagement (rare likes),0,Text-only,Invalid,Valid,No,No,Consistent,Yes,Fake
